subject_id,rt,is_correct,response_text,target,angle,targetFreq,outer_loop_iteration
8z25ff05po,9649,1,pim,pim,150,LF,NA
8z25ff05po,6948,1,gled,gled,240,HF,NA
8z25ff05po,3839,1,clate,clate,105,LF,NA
8z25ff05po,4753,1,blit,blit,195,HF,NA
8z25ff05po,6985,1,gorm,gorm,15,HF,NA
8z25ff05po,5374,1,noom,noom,60,HF,NA
8z25ff05po,10406,1,noobda,noobda,330,LF,NA
9dd5exmhez,2007,1,gled,gled,150,LF,NA
9dd5exmhez,1502,1,blit,blit,15,HF,NA
9dd5exmhez,1766,1,grah,grah,330,LF,NA
9dd5exmhez,2113,1,noobda,noobda,60,HF,NA
9dd5exmhez,2268,1,clate,clate,285,LF,NA
9dd5exmhez,2058,1,noom,noom,105,LF,NA
9dd5exmhez,1643,1,pim,pim,240,HF,NA
9dd5exmhez,1589,0,grom,gorm,195,HF,NA
9nn14a9lha,3732,1,clate,clate,195,HF,NA
9nn14a9lha,2795,1,blit,blit,240,HF,NA
9nn14a9lha,3026,1,noom,noom,285,LF,NA
9nn14a9lha,2365,1,pim,pim,60,HF,NA
9nn14a9lha,3413,1,noobda,noobda,150,LF,NA
9nn14a9lha,2271,1,gled,gled,105,LF,NA
9nn14a9lha,2598,1,gorm,gorm,330,LF,NA
9nn14a9lha,3066,1,grah,grah,15,HF,NA
9ok6dl2vqc,10777,1,noom,noom,105,LF,NA
9ok6dl2vqc,4384,1,gorm,gorm,195,HF,NA
9ok6dl2vqc,1946,1,gled,gled,15,HF,NA
9ok6dl2vqc,2044,1,clate,clate,150,LF,NA
9ok6dl2vqc,9000,1,blit,blit,60,HF,NA
9ok6dl2vqc,2147,1,noobda,noobda,240,HF,NA
9ok6dl2vqc,2299,1,pim,pim,285,LF,NA
9ok6dl2vqc,11315,1,grah,grah,330,LF,NA
9rhfcz0jn2,13547,1,clate,clate,330,LF,NA
9rhfcz0jn2,5273,1,noom,noom,285,LF,NA
9rhfcz0jn2,5446,1,pim,pim,195,HF,NA
9rhfcz0jn2,6504,1,grah,grah,60,HF,NA
9rhfcz0jn2,2823,1,gled,gled,15,HF,NA
9rhfcz0jn2,3814,1,noobda,noobda,150,LF,NA
9rhfcz0jn2,6657,1,blit,blit,240,HF,NA
9rhfcz0jn2,3306,1,gorm,gorm,105,LF,NA
9s1r1pogwn,2751,1,blit,blit,195,HF,NA
9s1r1pogwn,3742,1,noobda,noobda,60,HF,NA
9s1r1pogwn,2318,1,pim,pim,150,LF,NA
9s1r1pogwn,2446,1,clate,clate,285,LF,NA
9s1r1pogwn,4381,1,grah,grah,330,LF,NA
9s1r1pogwn,2815,1,gled,gled,15,HF,NA
9s1r1pogwn,2589,1,noom,noom,105,LF,NA
9s1r1pogwn,2607,1,gorm,gorm,240,HF,NA
9svt5softs,4537,1,clate,clate,105,LF,NA
9svt5softs,3119,1,pim,pim,150,LF,NA
9svt5softs,3004,1,blit,blit,60,HF,NA
9svt5softs,3326,0,noobda,gled,330,LF,NA
9svt5softs,2659,1,gorm,gorm,15,HF,NA
9svt5softs,3061,1,noobda,noobda,285,LF,NA
9svt5softs,2538,1,grah,grah,240,HF,NA
9svt5softs,2566,1,noom,noom,195,HF,NA
a7tvoky9qv,3012,1,noom,noom,285,LF,NA
a7tvoky9qv,2664,1,pim,pim,240,HF,NA
a7tvoky9qv,2736,1,grah,grah,60,HF,NA
a7tvoky9qv,2032,1,noobda,noobda,195,HF,NA
a7tvoky9qv,1931,1,clate,clate,150,LF,NA
a7tvoky9qv,1615,1,gorm,gorm,330,LF,NA
a7tvoky9qv,1319,1,gled,gled,15,HF,NA
a7tvoky9qv,1379,1,blit,blit,105,LF,NA
aj2gh1yrgk,6685,1,noom,noom,240,HF,NA
aj2gh1yrgk,10579,1,blit,blit,15,HF,NA
aj2gh1yrgk,9234,1,gorm,gorm,330,LF,NA
aj2gh1yrgk,4933,1,pim,pim,285,LF,NA
aj2gh1yrgk,6711,1,gled,gled,105,LF,NA
aj2gh1yrgk,3868,0,blit,clate,60,HF,NA
aj2gh1yrgk,6323,0,doonga,grah,195,HF,NA
aj2gh1yrgk,11863,0,grah,noobda,150,LF,NA
bfwyrbfepl,6362,0,gorm,gled,330,LF,NA
bfwyrbfepl,9716,1,gorm,gorm,285,LF,NA
bfwyrbfepl,5079,1,blit,blit,105,LF,NA
bfwyrbfepl,31443,1,pim,pim,195,HF,NA
bfwyrbfepl,12266,1,noom,noom,150,LF,NA
bfwyrbfepl,7931,1,grah,grah,15,HF,NA
bfwyrbfepl,10234,1,noobda,noobda,240,HF,NA
bfwyrbfepl,3484,1,clate,clate,60,HF,NA
bgpuop4hxp,3766,1,noom,noom,285,LF,NA
bgpuop4hxp,2862,1,gled,gled,240,HF,NA
bgpuop4hxp,5294,1,gorm,gorm,330,LF,NA
bgpuop4hxp,2775,1,pim,pim,195,HF,NA
bgpuop4hxp,2950,1,grah,grah,60,HF,NA
bgpuop4hxp,4372,1,noobda,noobda,105,LF,NA
bgpuop4hxp,3151,1,clate,clate,150,LF,NA
bgpuop4hxp,3477,1,blit,blit,15,HF,NA
bhanjyuauz,8412,0,noobda,clate,60,HF,NA
bhanjyuauz,4803,1,noom,noom,150,LF,NA
bhanjyuauz,5686,1,gled,gled,240,HF,NA
bhanjyuauz,3795,1,blit,blit,105,LF,NA
bhanjyuauz,11123,1,noobda,noobda,15,HF,NA
bhanjyuauz,6150,1,pim,pim,195,HF,NA
bhanjyuauz,4469,1,grah,grah,285,LF,NA
bhanjyuauz,2719,0,grom,gorm,330,LF,NA
bq51clktf9,5072,1,noobda,noobda,60,HF,NA
bq51clktf9,3659,1,clate,clate,105,LF,NA
bq51clktf9,3087,1,gled,gled,195,HF,NA
bq51clktf9,2331,1,pim,pim,285,LF,NA
bq51clktf9,2615,1,noom,noom,330,LF,NA
bq51clktf9,3531,0,glom,gorm,15,HF,NA
bq51clktf9,3317,1,blit,blit,150,LF,NA
bq51clktf9,2862,1,grah,grah,240,HF,NA
bu0flsj7ol,3540,1,clate,clate,195,HF,NA
bu0flsj7ol,2188,1,gled,gled,105,LF,NA
bu0flsj7ol,2068,1,pim,pim,240,HF,NA
bu0flsj7ol,1931,1,noom,noom,285,LF,NA
bu0flsj7ol,2188,1,blit,blit,15,HF,NA
bu0flsj7ol,3385,1,noobda,noobda,150,LF,NA
bu0flsj7ol,3044,1,gorm,gorm,330,LF,NA
bu0flsj7ol,2864,1,grah,grah,60,HF,NA
bv0n7ya9hp,7018,1,blit,blit,285,LF,NA
bv0n7ya9hp,1429,1,grah,grah,330,LF,NA
bv0n7ya9hp,2811,1,noobda,noobda,150,LF,NA
bv0n7ya9hp,3866,1,gled,gled,240,HF,NA
bv0n7ya9hp,2998,1,clate,clate,15,HF,NA
bv0n7ya9hp,1482,1,noom,noom,60,HF,NA
bv0n7ya9hp,2304,1,pim,pim,105,LF,NA
bv0n7ya9hp,2831,1,gorm,gorm,195,HF,NA
bytgb9k7ey,26248,1,gled,gled,60,HF,NA
bytgb9k7ey,4708,1,clate,clate,330,LF,NA
bytgb9k7ey,16523,1,blit,blit,285,LF,NA
bytgb9k7ey,7622,1,grah,grah,240,HF,NA
bytgb9k7ey,12445,1,noobda,noobda,15,HF,NA
bytgb9k7ey,7228,1,pim,pim,150,LF,NA
bytgb9k7ey,6400,1,noom,noom,105,LF,NA
bytgb9k7ey,8207,1,gorm,gorm,195,HF,NA
c38zxkub3s,3842,1,gled,gled,105,LF,NA
c38zxkub3s,3212,1,noobda,noobda,150,LF,NA
c38zxkub3s,3754,1,clate,clate,195,HF,NA
c38zxkub3s,3809,1,grah,grah,330,LF,NA
c38zxkub3s,3031,1,gorm,gorm,240,HF,NA
c38zxkub3s,2698,1,blit,blit,60,HF,NA
c38zxkub3s,1385,1,pim,pim,15,HF,NA
c38zxkub3s,3007,1,noom,noom,285,LF,NA
cbl0bwrm4s,6185,1,gled,gled,105,LF,NA
cbl0bwrm4s,5598,1,blit,blit,150,LF,NA
cbl0bwrm4s,2369,1,pim,pim,330,LF,NA
cbl0bwrm4s,2847,1,noobda,noobda,240,HF,NA
cbl0bwrm4s,6657,1,grah,grah,15,HF,NA
cbl0bwrm4s,2548,1,noom,noom,285,LF,NA
cbl0bwrm4s,2364,1,clate,clate,195,HF,NA
cbl0bwrm4s,4700,1,gorm,gorm,60,HF,NA
ce4ogo9mfc,2973,1,gled,gled,150,LF,NA
ce4ogo9mfc,3289,1,noobda,noobda,195,HF,NA
ce4ogo9mfc,2326,1,grah,grah,15,HF,NA
ce4ogo9mfc,4236,1,noom,noom,330,LF,NA
ce4ogo9mfc,2110,1,pim,pim,285,LF,NA
ce4ogo9mfc,2445,1,clate,clate,60,HF,NA
ce4ogo9mfc,2841,1,blit,blit,240,HF,NA
ce4ogo9mfc,2761,1,gorm,gorm,105,LF,NA
cpzg4y5hf2,3994,1,pim,pim,330,LF,NA
cpzg4y5hf2,3112,1,gled,gled,15,HF,NA
cpzg4y5hf2,2109,1,blit,blit,240,HF,NA
cpzg4y5hf2,3268,1,grah,grah,195,HF,NA
cpzg4y5hf2,1858,1,noom,noom,60,HF,NA
cpzg4y5hf2,1885,1,clate,clate,150,LF,NA
cpzg4y5hf2,2510,1,gorm,gorm,105,LF,NA
cpzg4y5hf2,2782,1,noobda,noobda,285,LF,NA
cyg0pbw2j6,2970,1,pim,pim,195,HF,NA
cyg0pbw2j6,2862,1,noom,noom,150,LF,NA
cyg0pbw2j6,3115,1,gorm,gorm,285,LF,NA
cyg0pbw2j6,2550,1,clate,clate,15,HF,NA
cyg0pbw2j6,2453,1,grah,grah,105,LF,NA
cyg0pbw2j6,3832,1,noobda,noobda,240,HF,NA
cyg0pbw2j6,2911,1,gled,gled,330,LF,NA
cyg0pbw2j6,2260,1,blit,blit,60,HF,NA
d8fbvwalxr,3748,1,noobda,noobda,285,LF,NA
d8fbvwalxr,1657,1,pim,pim,60,HF,NA
