frequency_ratio,payoff_structure,T,p_lf,p_hf,theta
1:4,linear,1.5645484949832773,0.34824502,0.65175503,0.25
1:4,linear,1.580602006688963,0.34888485,0.6511151,0.25
1:4,linear,1.5966555183946487,0.34951773,0.6504824,0.25
1:4,linear,1.6127090301003342,0.3501436,0.64985645,0.25
1:4,linear,1.6287625418060199,0.35076264,0.6492374,0.25
1:4,linear,1.6448160535117056,0.3513748,0.64862525,0.25
1:4,linear,1.660869565217391,0.35198018,0.6480199,0.25
1:4,linear,1.6769230769230767,0.35257876,0.6474213,0.25
1:4,linear,1.6929765886287624,0.3531707,0.64682937,0.25
1:4,linear,1.709030100334448,0.3537559,0.646244,0.25
1:4,linear,1.7250836120401336,0.35433456,0.64566535,0.25
1:4,linear,1.7411371237458193,0.35490668,0.64509326,0.25
1:4,linear,1.7571906354515048,0.3554724,0.6445276,0.25
1:4,linear,1.7732441471571905,0.3560316,0.6439685,0.25
1:4,linear,1.789297658862876,0.35658428,0.64341563,0.25
1:4,linear,1.8053511705685616,0.3571307,0.6428693,0.25
1:4,linear,1.8214046822742473,0.35767084,0.6423293,0.25
1:4,linear,1.8374581939799328,0.35820472,0.6417954,0.25
1:4,linear,1.8535117056856185,0.35873234,0.64126766,0.25
1:4,linear,1.8695652173913042,0.35925394,0.6407462,0.25
1:4,linear,1.8856187290969897,0.3597694,0.64023066,0.25
1:4,linear,1.9016722408026754,0.36027884,0.6397213,0.25
1:4,linear,1.917725752508361,0.36078227,0.63921785,0.25
1:4,linear,1.9337792642140466,0.36127967,0.6387203,0.25
1:4,linear,1.9498327759197323,0.36177135,0.6382288,0.25
1:4,linear,1.9658862876254177,0.36225712,0.6377429,0.25
1:4,linear,1.9819397993311034,0.36273715,0.63726294,0.25
1:4,linear,1.9979933110367891,0.3632114,0.6367886,0.25
1:4,linear,2.0140468227424746,0.36368,0.63632,0.25
1:4,linear,2.0301003344481603,0.36414292,0.63585705,0.25
1:4,linear,2.046153846153846,0.3646004,0.6353996,0.25
1:4,linear,2.0622073578595317,0.3650523,0.6349478,0.25
1:4,linear,2.0782608695652174,0.36549878,0.63450134,0.25
1:4,linear,2.094314381270903,0.36593974,0.63406044,0.25
1:4,linear,2.1103678929765883,0.36637533,0.63362473,0.25
1:4,linear,2.126421404682274,0.36680573,0.63319445,0.25
1:4,linear,2.1424749163879597,0.3672307,0.6327692,0.25
1:4,linear,2.1585284280936454,0.36765063,0.6323495,0.25
1:4,linear,2.174581939799331,0.36806524,0.6319347,0.25
1:4,linear,2.1906354515050164,0.36847496,0.6315251,0.25
1:4,linear,2.2066889632107025,0.36887938,0.6311205,0.25
1:4,linear,2.2227424749163878,0.36927897,0.6307209,0.25
1:4,linear,2.2387959866220735,0.3696735,0.63032645,0.25
1:4,linear,2.254849498327759,0.37006328,0.6299368,0.25
1:4,linear,2.270903010033445,0.370448,0.629552,0.25
1:4,linear,2.2869565217391306,0.37082803,0.6291719,0.25
1:4,linear,2.303010033444816,0.3712033,0.62879676,0.25
1:4,linear,2.3190635451505015,0.37157387,0.62842613,0.25
1:4,linear,2.335117056856187,0.37193966,0.6280603,0.25
1:4,linear,2.351170568561873,0.37230098,0.62769896,0.25
1:4,linear,2.3672240802675586,0.37265766,0.6273422,0.25
1:4,linear,2.3832775919732443,0.37300992,0.62699,0.25
1:4,linear,2.3993311036789295,0.37335762,0.6266424,0.25
1:4,linear,2.4153846153846152,0.37370095,0.626299,0.25
